N;sum;abs_sum;sqr_sum;mod_max;min;max;z_entries
7;-109.1;2557.1;97619.2;100;-99;100;2
7;52.9;251391;8.52091e+07;1000;-999;1000;2
7;-5389.1;2.50091e+07;8.34915e+10;10000;-9999;10000;2
7;22573.9;2.50012e+09;8.33511e+13;100000;-99999;100000;2
7;553951;2.50001e+11;8.3335e+16;1e+06;-999999;1e+06;2
7;-8.46804e+06;2.5e+13;8.33335e+19;1e+07;-1e+07;1e+07;2
7;-9.35992e+07;2.5e+15;8.33333e+22;1e+08;-1e+08;1e+08;2
