N;sum;abs_sum;sqr_sum;mod_max;min;max;z_entries
7;-109.1;2557.1;97619.2;100;-99;100;2
7;-6017.1;2.50112e+07;8.35062e+10;10000;-9999;10000;2
7;-472701;2.50001e+11;8.33351e+16;1e+06;-999999;1e+06;2
7;-4.28187e+07;2.5e+15;8.33333e+22;1e+08;-1e+08;1e+08;2
