10;128;0.228023;0.0228023;0.041666;0.002333
10;256;0.240001;0.0240001;0.033739;0.003627
10;1024;0.208001;0.0208001;0.032001;0.007433
10;4096;0.181335;0.0181335;0.032027;0.002249
10;8192;0.251161;0.0251161;0.048053;0.004435
10;32768;0.248026;0.0248026;0.032028;0.003776
10;65536;0.240497;0.0240497;0.035998;0.00314
10;131072;0.211996;0.0211996;0.035972;0.002343
10;1000000;0.239669;0.0239669;0.039967;0.002426
10;10000000;0.251994;0.0251994;0.039975;0.005886
10;100000000;1.06512;0.106512;0.12201;0.098647
