10;128;0.221543;0.0221543;0.032013;0.006248
10;256;0.219973;0.0219973;0.032025;0.004195
10;1024;0.221781;0.0221781;0.035803;0.005818
10;4096;0.215998;0.0215998;0.032034;0.003164
10;8192;0.215216;0.0215216;0.032001;0.002421
10;32768;0.257085;0.0257085;0.039994;0.002852
10;65536;0.219969;0.0219969;0.032011;0.002235
10;131072;0.254431;0.0254431;0.036023;0.002843
10;1000000;0.254329;0.0254329;0.032023;0.003189
10;10000000;0.243607;0.0243607;0.035127;0.003561
9;100000000;1.01263;0.112514;0.128001;0.092619
