N;blocks;block_size;tests_done;total_time;time_per_test;check
256;256;256;10;0.180022;0.0180022;0
1000;256;256;10;0.1975;0.01975;00
10000;256;256;10;0.160003;0.0160003;0
100000;256;256;10;0.172042;0.0172042;0
1000000;256;256;10;0.232478;0.0232478;0
10000000;256;256;10;0.212025;0.0212025;0
100000000;256;256;10;0.594167;0.0594167;0
