N;blocks;block_size;tests_done;total_time;time_per_test;check
256;256;256;10;0.204015;0.0204015;0
1000;256;256;10;0.197546;0.0197546;0
10000;256;256;10;0.215524;0.0215524;0
100000;256;256;10;0.211004;0.0211004;18446744073709517152
