N;blocks;block_size;tests_done;total_time;time_per_test;check
256;256;256;10;0.408;0.0408;0
1000;256;256;10;0.432549;0.0432549;0
10000;256;256;10;0.396001;0.0396001;0
100000;256;256;10;0.428198;0.0428198;0
1000000;256;256;10;0.444003;0.0444003;0
10000000;256;256;10;0.426076;0.0426076;0
100000000;256;256;10;0.847996;0.0847996;0
