N;target;local_size;global_size;ocl_time;cpu_time;total_time;dot
256;GPU;128;16384;2.6e-05;0.728097;0.728123;512
1000;GPU;128;16384;2.8e-05;0.74284;0.742868;2000
10000;GPU;128;16384;2.8e-05;0.738157;0.738185;20000
100000;GPU;128;16384;2.5e-05;0.736451;0.736476;200000
1000000;GPU;128;16384;8.6e-05;0.728222;0.728308;2e+06
10000000;GPU;128;16384;0.000685;0.729255;0.72994;2e+07
100000000;GPU;128;16384;0.006479;0.744036;0.750515;2e+08
