tests_done;N;total_time;average_time;max_runtime;min_runtime;hosttime
1;256;10.5451;10.5451;10.5451;10.5451;2e-06
1;1024;42.1303;42.1303;42.1303;42.1303;4e-06
1;4096;0;0;0;0;1.8e-05
1;8192;0;0;0;0;3.4e-05
1;32768;0;0;0;0;0.000152
1;65536;0;0;0;0;0.000299
1;131072;0;0;0;0;0.00062
