tests_done;N;total_time;average_time;max_runtime;min_runtime;hosttime
10;256;0.000115;1.15e-05;1.7e-05;1e-05;3e-06
10;1024;0.000112;1.12e-05;2.2e-05;9e-06;9e-06
10;4096;0.00011;1.1e-05;1.9e-05;5e-06;3.6e-05
10;8192;0.000156;1.56e-05;2.9e-05;1e-05;7e-05
10;32768;0.000109;1.09e-05;1.7e-05;8e-06;0.000316
10;65536;0.000104;1.04e-05;1.2e-05;8e-06;0.000576
10;131072;0.000104;1.04e-05;1.2e-05;9e-06;0.001142
