p;N;runtime;residual;iterations
10;100;0.008891;5.71982e-07;13
100;10000;0.10876;9.37523e-07;158
500;250000;0.387842;9.85776e-07;808
1000;1000000;1.96175;9.87809e-07;1632
1500;2250000;6.14175;9.85337e-07;2462
