N;time_shared;time_warp;time_warp_adapt;time_dot;time_dot_warp;time_cpuref;time_cublas
100;4.1e-05;2.8e-05;2.8e-05;2.9e-05;4.1e-05;1.2e-05;3.8e-05
1000;2.9e-05;4.2e-05;3.3e-05;4.4e-05;3.2e-05;4.2e-05;4.8e-05
10000;2.8e-05;2.7e-05;2.8e-05;4.3e-05;4.7e-05;0.000115;3.3e-05
100000;4.7e-05;5.7e-05;9.3e-05;2.8e-05;2.8e-05;0.001013;3.3e-05
1000000;0.00011;9.5e-05;0.000487;6.5e-05;6.3e-05;0.009594;7.2e-05
10000000;0.00073;0.00056;0.004472;0.000362;0.000362;0.095785;0.000365
100000000;0.005807;0.004753;0.037626;0.003311;0.003317;0.958896;0.003295
