N;blocks;block_size;tests_done;total_time;time_per_test;check
256;256;256;10;0.180968;0.0180968;0
1000;256;256;10;0.185395;0.0185395;0
10000;256;256;10;0.175283;0.0175283;0
100000;256;256;10;0.263156;0.0263156;0
1000000;256;256;10;0.184018;0.0184018;0
10000000;256;256;10;0.18557;0.018557;0
100000000;256;256;10;0.616013;0.0616013;0
