N;blocks;block_size;tests_done;total_time;time_per_test;check
256;1024;1024;10;0.447996;0.0447996;0
1000;1024;1024;10;0.434348;0.0434348;0
10000;1024;1024;10;0.427995;0.0427995;0
100000;1024;1024;10;0.448685;0.0448685;0
1000000;1024;1024;10;0.392011;0.0392011;0
10000000;1024;1024;10;0.449904;0.0449904;0
100000000;1024;1024;10;0.864009;0.0864009;0
