N;blocks;block_size;tests_done;total_time;time_per_test;check
256;1024;1024;10;0.244312;0.0244312;0
1000;1024;1024;10;0.182253;0.0182253;0
10000;1024;1024;10;0.215145;0.0215145;0
100000;1024;1024;10;0.195663;0.0195663;0
