16;16;3;10000000;0.440001;0.146667;0.160423;0.123576
32;16;3;10000000;0.191979;0.063993;0.068;0.058734
64;16;3;10000000;0.131993;0.0439977;0.055473;0.033874
128;16;3;10000000;0.079992;0.026664;0.035996;0.012877
256;16;3;10000000;0.067999;0.0226663;0.031996;0.00631
512;16;3;10000000;0.047994;0.015998;0.032056;0.003965
1024;16;3;10000000;0.092005;0.0306683;0.036;0.024017
16;32;3;10000000;0.188002;0.0626673;0.064029;0.05997
32;32;3;10000000;0.136026;0.045342;0.055997;0.032003
64;32;3;10000000;0.068045;0.0226817;0.032039;0.006181
128;32;3;10000000;0.092017;0.0306723;0.032532;0.027483
256;32;3;10000000;0.064015;0.0213383;0.036015;0.004488
512;32;3;10000000;0.063995;0.0213317;0.032;0.006718
1024;32;3;10000000;0.079997;0.0266657;0.030399;0.021601
16;64;3;10000000;0.115981;0.0386603;0.051984;0.031983
32;64;3;10000000;0.067983;0.022661;0.035416;0.011989
64;64;3;10000000;0.062433;0.020811;0.035999;0.005686
128;64;3;10000000;0.071909;0.0239697;0.029054;0.014857
256;64;3;10000000;0.083996;0.0279987;0.032001;0.02092
512;64;3;10000000;0.111997;0.0373323;0.043997;0.032
1024;64;3;10000000;0.07606;0.0253533;0.031991;0.019236
16;128;3;10000000;0.059924;0.0199747;0.031992;0.004485
32;128;3;10000000;0.062569;0.0208563;0.036;0.010571
64;128;3;10000000;0.058577;0.0195257;0.026579;0.011997
128;128;3;10000000;0.061525;0.0205083;0.028657;0.004955
256;128;3;10000000;0.104023;0.0346743;0.043132;0.028876
512;128;3;10000000;0.063997;0.0213323;0.031977;0.006375
1024;128;3;10000000;0.05998;0.0199933;0.031335;0.004551
16;256;3;10000000;0.063987;0.021329;0.031999;0.006705
32;256;3;10000000;0.055335;0.018445;0.028589;0.006747
64;256;3;10000000;0.06797;0.0226567;0.031997;0.006999
128;256;3;10000000;0.061496;0.0204987;0.032095;0.005426
256;256;3;10000000;0.075987;0.025329;0.032001;0.017558
512;256;3;10000000;0.071889;0.023963;0.036016;0.003886
1024;256;3;10000000;0.072122;0.0240407;0.028107;0.019385
16;512;3;10000000;0.083974;0.0279913;0.031997;0.025675
32;512;3;10000000;0.058975;0.0196583;0.031999;0.006049
64;512;3;10000000;0.068719;0.0229063;0.033225;0.003482
128;512;3;10000000;0.053648;0.0178827;0.028701;0.004423
256;512;3;10000000;0.081169;0.0270563;0.032059;0.020309
512;512;3;10000000;0.069382;0.0231273;0.031996;0.005399
1024;512;3;10000000;0.082101;0.027367;0.032;0.024896
16;1024;3;10000000;0.084902;0.0283007;0.052733;0.004592
32;1024;3;10000000;0.064006;0.0213353;0.031996;0.006506
64;1024;3;10000000;0.069382;0.0231273;0.032003;0.005381
128;1024;3;10000000;0.068001;0.022667;0.032597;0.003404
256;1024;3;10000000;0.075996;0.025332;0.031999;0.021116
512;1024;3;10000000;0.059642;0.0198807;0.032008;0.007132
1024;1024;3;10000000;0.081056;0.0270187;0.031998;0.02088
