p;N;time;iters;norm_after
31;961;0.024078;50;6.81819e-07
100;10000;0.074668;159;9.37523e-07
316;99856;0.085405;509;9.0912e-07
1000;1000000;1.70278;1633;9.87809e-07
2000;4000000;13.6941;3297;9.90717e-07
