N;vec_init_time;dot_time;memcpy_time;dot_result
100;0.321777;0.000136;9e-06;-300
1000;0.000128;0.000129;1e-05;-3000
10000;0.000232;0.000136;1e-05;-30000
100000;0.000169;0.000396;9e-06;-300000
1000000;0.000226;0.002386;8e-06;-3e+06
10000000;0.000812;0.019283;1.4e-05;-3e+07
