N;vec_init_time;dot_time;memcpy_time;dot_result
100;2.4e-05;0.000102;1e-05;-300
1000;4.6e-05;6.5e-05;1.3e-05;-3000
10000;0.000122;5.4e-05;1.3e-05;-30000
100000;0.000585;0.000142;9e-06;-300000
1000000;0.014667;0.000462;1.2e-05;-3e+06
10000000;0.151055;0.00107;1e-05;-3e+07
100000000;2.87372;0.007104;1.2e-05;-3e+08
