N;vec_init_time;dot_time;memcpy_time;dot_result
100;1.12119;9.6e-05;1e-05;-300
1000;4.7e-05;0.000126;9e-06;-3000
10000;4.3e-05;0.000353;1e-05;-30000
100000;9.1e-05;0.001636;1e-05;-300000
1000000;0.0001;0.036339;2.6e-05;-3e+06
10000000;0.000125;0.493772;1.3e-05;-3e+07
100000000;1.19206;5.10201;1.3e-05;-3e+08
