N;vec_init_time;dot_time;memcpy_time;dot_result
10;0.334856;0.000115;9e-06;-150
100;0.000127;0.000118;9e-06;-1500
1000;0.000134;0.000118;1.1e-05;-15000
10000;0.000234;0.000118;9e-06;-150000
100000;0.001389;0.000149;1e-05;-983040
1000000;0.01097;0.000147;9e-06;-983040
10000000;0.107924;0.00021;1e-05;-983040
