p;N;runtime;residual;iterations
10;100;0.009022;5.71982e-07;13
100;10000;0.108739;9.37523e-07;158
500;250000;0.375675;9.85776e-07;808
1000;1000000;1.95976;9.87809e-07;1632
1500;2250000;6.13795;9.85338e-07;2462
