N;vec_init_time;dot_time;memcpy_time;dot_result
100;0.971638;0.000113;1e-05;-300
1000;0.000126;0.000297;2.6e-05;-3000
10000;0.000144;0.000579;1.3e-05;-30000
100000;0.000111;0.001776;9e-06;-300000
1000000;0.000189;0.038031;1e-05;-3e+06
10000000;0.000131;0.474919;1e-05;-3e+07
100000000;0.977511;4.8568;1.5e-05;-3e+08
