N;vec_init_time;dot_time;memcpy_time;dot_result
100;0.332958;0.000144;9e-06;-300
1000;0.000137;0.000132;1.2e-05;-3000
10000;0.000131;0.000143;9e-06;-30000
100000;0.000131;0.000416;2.2e-05;-300000
1000000;0.000301;0.002336;9e-06;-3e+06
10000000;0.000667;0.015609;2.1e-05;-3e+07
