N;vec_init_time;dot_time;memcpy_time;dot_result
10;3e-05;8.4e-05;1.5e-05;-30
100;3.4e-05;9.1e-05;1.2e-05;-300
1000;4.8e-05;9.7e-05;1.5e-05;-3000
10000;0.000113;8.4e-05;2.2e-05;-30000
100000;0.000512;0.000162;1e-05;-300000
1000000;0.013406;0.000318;9e-06;-3e+06
10000000;0.152745;0.000952;9e-06;-3e+07
