N;blocks;block_size;tests_done;total_time;time_per_test;check
256;16;16;10;0.435997;0.0435997;0
1000;16;16;10;0.414176;0.0414176;0
10000;16;16;10;0.448932;0.0448932;0
100000;16;16;10;0.455703;0.0455703;0
1000000;16;16;10;0.39341;0.039341;0
10000000;16;16;10;1.528;0.1528;0
100000000;16;16;10;11.712;1.1712;0
