N;blocks;block_size;tests_done;total_time;time_per_test;check
256;16;16;10;0.213699;0.0213699;0
1000;16;16;10;0.194665;0.0194665;0
10000;16;16;10;0.183987;0.0183987;0
100000;16;16;10;0.190207;0.0190207;0
1000000;16;16;10;0.197484;0.0197484;0
10000000;16;16;10;1.19322;0.119322;0
100000000;16;16;10;10.3262;1.03262;0
