N;vec_init_time;dot_time;memcpy_time;dot_result
10;1.6e-05;7.8e-05;8e-06;-30
100;1.3e-05;6.3e-05;1.1e-05;-300
1000;4.5e-05;7.8e-05;9e-06;-3000
10000;0.000136;7.3e-05;1.2e-05;-30000
100000;0.001345;0.000105;8e-06;-300000
1000000;0.015516;0.000408;9e-06;-3e+06
10000000;0.15959;0.000697;8e-06;-3e+07
