N;vec_init_time;dot_time;memcpy_time;dot_result
10;0.341739;9.8e-05;9e-06;-30
100;0.000185;8.7e-05;9e-06;-300
1000;0.000217;0.000106;1e-05;-3000
10000;0.000586;0.000121;1e-05;-30000
100000;0.004409;0.000165;9e-06;-300000
1000000;0.048471;0.000761;1.4e-05;-3e+06
10000000;0.369128;0.002945;1e-05;-3e+07
