N;vec_init_time;dot_time;memcpy_time;dot_result
10;0.000276;0.000312;1.3e-05;-30
100;0.000221;0.000348;1.3e-05;-300
1000;0.000252;0.000814;1.4e-05;-3000
10000;0.000402;0.005258;1.3e-05;-30000
100000;0.001406;0.026517;9e-06;-300000
1000000;0.011763;0.061137;9e-06;-3e+06
10000000;0.120639;0.592691;1e-05;-3e+07
