N;vec_init_time;dot_time;memcpy_time;dot_result
10;0.989979;0.000142;1.5e-05;-30
100;9.4e-05;0.000122;1.4e-05;-300
1000;0.00014;0.000366;1.4e-05;-3000
10000;0.000117;0.000526;1.3e-05;-30000
100000;0.000119;0.001895;1e-05;-300000
1000000;0.00015;0.037645;9e-06;-3e+06
10000000;0.000156;0.477879;1e-05;-3e+07
