N;vec_init_time;dot_time;memcpy_time;dot_result
10;2.3e-05;0.00011;1.7e-05;-30
100;2.1e-05;0.000123;1.6e-05;-300
1000;3.3e-05;9e-05;1.2e-05;-3000
10000;7.2e-05;0.000137;1e-05;-30000
100000;0.00059;0.000111;1.7e-05;-300000
1000000;0.013713;0.000358;1.4e-05;-3e+06
10000000;0.150606;0.000883;9e-06;-3e+07
